19

997 858
77 55 265
927 220 -631
973 498 -953
802 911 -934
40 652 55
557 575 -388
767 169 65
208 269 805
931 673 -185
556 591 -828
260 843 997
968 560 977
323 120 962
572 996 -698
373 771 812
938 383 110
791 828 356
55 100 -974
186 765 651
822 320 543
603 930 376
626 316 -24
511 577 -743
824 111 -287
332 944 -480
790 238 225
502 251 -425
457 751 -209
758 820 492
716 285 520
306 556 814
446 683 -112
393 578 -267
751 481 -481
494 341 313
707 254 282
833 549 679
32 786 574
96 901 -832
450 144 -484
356 288 41
38 440 -425
48 141 556
672 960 -120
466 994 117
938 988 -539
69 838 204
149 294 714
533 673 -502
37 24 -568
639 365 437
747 630 -44
811 122 -171
328 934 -127
640 320 -277
293 542 -853
770 462 -859
593 945 -746
613 269 -236
916 64 -982
363 430 755
815 883 841
349 820 -861
704 332 457
900 361 298
103 438 89
283 265 683
779 983 404
112 891 978
843 132 762
188 145 2
459 226 374
354 940 809
781 506 361
78 786 -53
209 239 -56
721 515 -667
425 291 -32
806 93 72
127 386 531
903 754 882
705 983 -463
259 7 948
764 336 291
382 445 -941
962 571 544
800 526 -178
435 577 -429
952 506 584
730 601 -151
282 505 389
350 732 355
614 747 -824
842 809 493
380 407 -175
615 231 480
576 365 -925
627 59 487
492 988 691
411 78 613
435 282 0
688 138 128
214 948 998
897 85 -488
358 875 844
819 542 -297
260 776 817
947 522 140
962 432 613
555 387 -161
412 631 -345
153 596 -446
459 269 -466
843 141 -861
641 47 -142
836 835 -895
101 297 -973
800 367 -486
150 371 107
920 800 213
65 916 -587
550 543 -541
964 354 171
208 967 -550
702 168 -422
682 3 -305
280 830 399
447 640 -771
979 379 313
920 30 778
58 603 -288
5 768 -635
367 736 -379
428 323 -399
131 854 -101
892 99 -635
881 247 -151
227 832 87
416 589 -399
987 577 29
548 73 -115
654 15 -476
212 759 -353
315 936 -60
510 705 -960
98 493 -256
676 45 918
435 891 170
602 347 -342
63 126 190
12 356 21
212 604 528
606 807 330
641 490 -107
764 483 -785
872 272 169
664 14 -92
163 30 -95
15 156 -81
500 772 753
627 471 592
525 14 -157
764 821 -352
486 928 214
587 530 656
754 241 26
583 13 -184
609 938 -52
736 406 -724
305 779 807
683 199 -341
254 121 -626
160 808 -531
888 632 -800
691 204 -112
409 831 954
624 472 39
961 581 546
635 526 -549
150 872 917
173 443 -498
704 941 -716
532 197 149
576 967 -787
638 149 316
371 795 -163
586 601 885
115 724 -227
210 159 431
416 167 82
538 360 460
346 345 806
895 818 -416
615 714 747
553 458 517
707 501 -845
552 76 988
780 254 -513
602 212 639
604 636 -60
190 697 78
993 671 289
430 947 -80
40 462 -982
48 580 782
340 361 689
674 530 -656
335 355 -537
596 22 520
468 220 -87
184 219 -369
22 102 596
300 835 179
673 599 832
56 234 -480
497 515 -455
870 203 927
362 324 23
133 201 191
843 513 521
117 812 124
329 752 -570
401 479 326
77 324 902
526 780 135
440 121 -896
878 810 928
730 559 -874
171 201 396
804 585 550
849 754 464
312 329 908
378 806 109
982 940 914
733 176 -112
628 729 441
629 664 -126
461 430 -550
140 914 -820
45 592 986
588 389 162
206 140 378
123 32 598
25 953 844
74 628 -339
758 97 -927
243 140 -380
987 40 -485
266 677 -261
113 734 -444
299 506 -20
117 31 -316
474 431 -744
700 768 -129
464 576 -402
28 223 -126
238 377 29
394 656 -407
492 691 372
692 905 -675
794 179 -135
257 739 -726
591 127 -181
58 636 -592
657 813 -491
372 757 634
368 637 -574
337 446 -164
874 727 285
832 226 -722
14 540 936
854 645 98
455 459 194
82 787 -350
36 435 749
683 578 983
481 550 293
748 137 529
521 360 -208
71 174 275
598 248 835
507 696 -481
74 830 190
591 178 -143
502 698 -605
549 484 49
391 647 611
89 929 -55
231 556 -190
584 605 -126
905 75 971
473 888 553
114 431 438
926 933 427
146 836 -915
280 854 -322
842 902 77
510 597 513
556 554 651
619 32 507
55 119 168
592 247 454
387 415 -526
779 566 -616
212 475 758
708 15 360
667 494 -561
13 130 -676
92 479 -82
242 429 481
470 27 81
202 710 -462
418 310 -253
787 280 -109
954 310 -623
132 367 626
449 975 -235
18 172 -139
970 8 390
488 580 -927
762 554 -926
897 344 -603
697 571 345
150 38 183
816 155 491
948 194 -721
870 551 307
883 523 756
239 614 -311
875 616 775
813 600 856
996 160 969
826 129 -583
516 715 263
709 146 -292
592 732 -849
9 190 577
442 520 -145
99 792 369
805 342 703
835 314 -30
202 572 283
133 565 385
503 129 196
368 587 476
622 843 -627
645 969 801
573 430 979
936 740 -871
867 368 367
889 215 -498
180 753 708
390 403 -465
49 699 385
925 223 762
755 240 -388
811 949 410
796 842 -748
809 227 907
677 796 -875
75 324 -398
380 911 -482
103 243 209
10 658 375
764 339 -637
358 273 -851
997 713 227
612 276 394
128 202 624
673 448 -158
806 692 -460
369 623 890
54 896 992
211 32 -704
577 99 560
727 913 786
295 442 844
708 547 -39
446 332 763
559 12 355
843 120 167
361 964 -427
213 832 -809
170 891 -589
86 507 -940
41 635 -658
61 350 510
793 83 554
33 898 -620
583 63 -872
384 806 -276
551 404 955
292 760 571
161 946 -84
115 208 -398
617 139 366
880 701 980
892 680 -988
611 140 -62
421 548 -527
495 98 284
272 578 -945
698 283 -309
124 767 -452
462 422 614
391 27 3
689 347 290
191 550 -213
817 485 474
535 789 -702
232 552 -592
429 679 183
339 403 418
831 360 -714
462 930 423
550 272 -113
742 240 349
644 276 564
504 799 615
772 788 335
46 230 726
268 517 -428
643 209 407
251 901 308
937 145 37
90 681 295
186 926 215
505 345 470
184 359 -652
137 814 320
282 24 73
565 896 -130
743 839 -394
818 522 -907
431 290 786
798 751 247
565 586 885
982 511 243
237 674 -983
845 221 -946
63 590 421
87 718 -76
123 338 385
767 303 459
340 849 675
987 4 -503
598 398 496
82 582 29
409 421 228
904 561 -424
848 754 134
104 593 141
141 22 495
234 826 -473
429 307 579
888 837 -997
434 473 -830
705 339 -385
927 879 631
758 186 -365
534 744 -231
475 672 885
814 721 -837
226 301 -645
49 882 888
515 929 -536
857 138 772
159 312 -99
573 407 511
331 748 732
243 792 -733
842 407 850
198 292 339
872 887 163
758 295 -166
608 153 -65
740 228 -407
577 730 -147
485 275 346
954 516 529
760 284 -260
321 51 443
478 926 506
735 700 -224
259 703 -535
438 596 879
182 856 31
488 936 -636
628 944 -203
695 542 793
105 975 908
481 74 -818
951 598 434
620 655 982
183 392 -961
787 150 580
18 176 978
630 954 -447
888 379 159
711 551 37
549 987 120
537 681 104
473 141 117
728 386 946
294 805 711
432 562 -287
46 290 407
373 353 -592
61 707 281
337 783 826
891 831 245
263 959 -604
487 379 -977
414 853 -825
470 475 211
766 257 943
291 652 311
619 105 845
813 411 -934
969 851 -488
481 713 -481
574 152 988
182 310 -681
27 501 115
494 2 -396
233 633 -737
31 703 973
411 8 955
311 278 378
875 301 -764
844 111 -402
105 733 -485
471 214 354
486 935 -998
885 948 710
694 600 410
67 344 -470
193 669 -387
935 569 -99
187 858 670
517 870 -479
818 247 -832
446 787 900
514 298 905
414 860 -958
487 522 -906
83 815 404
777 410 920
142 28 680
813 231 283
858 195 -651
122 255 -542
980 772 -96
310 237 -21
814 630 897
514 464 -739
907 747 -318
654 63 -874
569 403 690
309 694 261
227 174 270
441 161 20
104 925 378
583 627 698
817 16 -714
795 603 535
508 601 -10
624 301 -425
450 877 -1000
816 856 -50
573 804 270
252 711 740
318 436 516
1 794 342
68 216 -673
479 542 161
672 899 -504
149 76 -289
179 326 805
788 727 250
797 692 520
382 596 -180
124 988 463
128 158 770
118 433 438
522 415 -965
655 407 -384
886 889 -525
565 502 -19
624 268 -761
802 20 -642
376 974 -557
792 912 789
647 447 -226
610 951 -966
676 533 255
215 167 -75
692 221 -483
796 693 281
315 588 -780
441 400 -442
336 78 663
280 543 -953
188 426 -734
574 846 238
154 250 522
362 213 61
148 268 -790
725 924 542
911 564 -405
262 242 437
923 760 647
330 589 -609
877 786 -204
756 446 -161
813 51 -234
472 508 857
194 312 -128
880 971 -376
854 872 -578
445 501 464
522 327 -432
281 429 346
539 341 839
290 896 789
401 108 -199
212 744 -869
560 837 -105
986 435 493
877 769 30
967 466 -990
688 542 -348
189 685 -16
600 517 425
970 553 -617
584 804 767
813 381 -238
450 347 85
846 423 348
302 188 -878
78 203 -610
225 107 -350
100 294 -94
867 446 -279
732 178 -829
600 375 258
227 90 691
709 744 -618
807 863 87
83 958 620
74 920 -339
414 356 -54
99 251 556
851 478 -730
172 70 -407
321 242 538
364 45 389
458 427 944
669 499 -678
86 871 -867
822 702 677
901 813 -113
37 566 -640
457 533 555
174 506 658
558 582 305
219 722 784
566 715 998
511 150 -124
410 732 986
712 879 471
150 724 954
606 649 -124
183 59 384
511 565 -491
794 594 -229
633 17 455
780 463 256
45 905 -612
658 440 255
930 498 -892
763 243 126
704 784 239
524 903 265
191 634 840
641 894 457
393 945 -43
742 931 634
402 479 665
510 868 -219
428 27 -292
966 935 877
964 626 -307
406 915 -569
331 337 -591
802 830
629 614 -857
117 158 -202
672 293 425
156 497 -906
611 283 -945
644 631 127
29 576 -934
346 331 967
762 257 -804
734 179 -514
281 274 -45
402 368 421
639 632 904
487 279 -965
140 620 993
781 238 -43
260 585 672
165 448 156
229 504 23
488 490 679
451 234 -770
325 227 -400
446 160 825
738 346 -468
604 141 566
579 282 -601
802 103 577
534 336 -359
780 697 490
585 528 590
268 633 -498
174 739 -346
307 157 -666
43 260 -162
66 568 -163
315 456 62
411 27 612
777 47 -8
99 340 -930
91 473 734
576 448 -605
135 579 -449
130 544 -467
119 7 406
451 605 549
790 326 -50
69 715 -254
615 494 -264
684 89 450
160 603 427
365 335 319
313 661 -270
583 556 -635
289 101 947
4 670 -298
240 657 -646
306 606 310
82 629 -470
444 771 -145
630 466 903
740 487 245
68 42 -250
174 745 -208
422 796 -275
258 711 983
530 533 -542
203 223 126
495 157 -539
692 56 350
183 225 30
758 510 -659
663 21 98
535 68 772
557 445 37
299 603 115
424 238 -99
250 168 -706
629 31 910
212 621 -227
511 353 831
185 767 234
391 500 862
598 59 724
4 556 62
112 147 893
487 383 797
798 170 -496
247 224 334
697 706 377
322 719 315
105 134 691
124 276 -133
473 87 714
344 92 480
590 260 520
336 351 399
642 107 -796
574 535 147
143 334 -829
325 1 -897
584 363 849
649 477 -899
155 343 894
463 274 120
687 86 -999
354 335 -394
493 148 316
328 223 -693
568 584 272
252 724 503
699 776 330
293 616 -725
221 47 797
351 548 -763
157 386 -928
376 599 375
521 759 -21
642 467 234
231 196 604
252 471 296
176 427 745
794 27 633
793 138 -375
231 654 825
307 566 684
290 95 -62
464 250 -51
450 676 266
291 393 870
639 742 -860
19 636 596
26 686 892
218 330 -106
799 648 -757
703 651 723
106 551 310
605 111 706
429 33 489
125 168 -147
101 187 -866
183 74 -534
31 783 152
546 469 -149
123 580 968
508 622 -583
35 252 425
742 477 890
301 690 -90
162 207 -744
375 247 -202
156 527 612
790 678 255
139 598 -603
15 277 136
395 276 562
752 173 407
348 716 165
622 296 769
542 509 -811
119 80 -914
150 504 873
2 344 826
483 442 -806
257 789 -720
578 204 683
4 74 -189
547 305 -982
221 373 -222
190 745 940
638 499 -860
10 227 710
210 764 -312
536 309 3
515 612 743
759 482 726
203 773 317
764 153 544
711 212 -968
225 530 -595
288 337 -716
119 705 -912
283 73 404
405 258 543
799 602 946
109 161 -571
474 536 -261
608 53 876
271 313 -977
563 669 -359
296 57 -126
752 259 68
522 543 414
115 789 -917
87 521 -488
40 651 -813
700 286 308
297 272 -610
696 42 -70
461 745 703
44 602 -931
189 665 136
793 603 419
126 794 389
176 120 83
750 477 -892
608 452 291
684 608 800
791 656 567
532 469 131
140 401 774
763 248 99
264 549 338
279 374 -473
117 409 841
227 690 -177
210 429 245
528 540 669
801 23 723
400 453 -473
442 332 319
760 83 493
585 288 231
347 468 910
551 411 399
67 450 19
60 363 -352
307 559 -432
82 541 704
564 28 -882
585 169 777
278 253 385
95 574 693
668 315 -709
578 122 -490
39 524 -880
729 686 -926
585 718 -746
381 563 -678
310 240 769
457 703 941
562 632 967
727 38 -908
362 270 898
49 614 -592
317 705 174
405 687 -145
670 740 -150
91 300 -960
159 199 326
721 331 202
465 546 -220
672 583 168
717 395 531
12 759 -108
382 558 558
450 722 -136
327 150 85
620 257 209
539 417 649
418 449 -828
534 118 90
338 312 643
107 142 -981
752 534 -154
367 530 -593
761 722 -841
356 787 252
207 144 -548
716 569 -270
619 165 -980
415 222 -47
635 790 524
667 232 279
778 451 346
645 546 232
628 468 484
186 171 -643
781 588 688
740 109 -287
774 581 201
89 151 429
661 527 651
466 63 -79
150 579 229
123 215 -999
174 19 651
409 63 745
738 450 609
155 186 -301
478 390 -853
435 72 398
759 787 -156
647 748 -821
393 345 -836
61 92 681
59 336 -854
652 615 200
121 142 227
137 797 -11
372 734 982
570 210 -680
534 394 -488
568 666 -171
246 21 -668
620 542 -706
684 658 419
431 408 -818
372 591 -739
481 10 -950
323 578 -939
636 257 116
690 609 188
277 369 -117
200 354 324
249 540 484
742 53 -417
632 796 -365
800 196 244
283 650 -593
658 719 -130
547 325 758
282 641 90
130 660 -63
554 124 -538
476 778 707
106 380 441
49 307 22
757 18 367
278 18 -545
567 23 -694
200 685 376
467 114 -450
246 300 287
726 11 40
654 684 425
609 107 -902
628 268 820
472 554 264
322 380 553
302 441 -249
153 533 -622
576 503 160
683 246 474
691 22 551
224 346 761
749 316 -597
740 489 -110
7 514 702
667 315 660
180 133 -722
109 368 -817
120 343 -912
571 93 679
471 254 -1
410 26 -296
398 500 772
306 749 -934
289 640 -633
389 326 550
675 650 -504
286 532 -603
220 135 -643
520 681 502
13 269 219
598 214 61
546 158 367
381 554 912
18 283 -743
357 502 -967
656 412 -749
347 594 -892
682 343 -774
220 248 325
566 201 880
468 458 -561
744 556 -363
363 14 -918
601 607 17
390 577 -901
30 193 -950
135 697 -59
105 253 304
461 205 826
759 800 501
478 159 604
665 79 -404
342 616 -545
283 747 -962
277 146 1
156 569 -908
732 301 -617
684 665 -287
28 111 -12
330 604 -760
291 390 -203
109 218 -94
9 426 -699
41 18 -894
247 418 -695
599 654 60
132 372 846
777 42 199
62 544 -89
464 279 -857
361 654 -928
113 647 808
367 451 -438
711 144 842
302 502 984
238 83 489
167 174 834
597 370 -470
522 234 -562
720 407 -620
70 792 -535
708 476 145
79 718 -406
649 14 -247
98 720 497
503 699 582
10 406 766
537 308 107
467 426 -34
500 48 -815
381 384 535
291 797 379
409 359 377
549 499 -836
287 412 -866
489 360 -244
703 725 -828
179 21 531
40 781 -231
212 679 447
608 344 -938
476 650 866
230 377 -196
90 481 -318
528 773 959
111 521 835
628 672 565
698 160 -514
218 179 564
672 457 663
61 639 -461
67 295 -634
38 787 546
345 38 -117
144 650 351
248 574 -791
297 108 777
36 734 -264
211 591 -366
320 473 760
642 212 -771
51 689 -515
281 62 -420
230 724 -550
364 371 32
265 221 575
649 138 -616
171 423 -324
576 670 166
739 705 -567
682 533 681
411 586 -622
632 64 -365
164 345 -877
750 581 -830
213 703 -532
62 300 879
38 741 -105
248 716 -452
271 489 -722
208 598 62
562 421 124
381 666 -343
46 609 -631
403 417 93
300 494 -954
663 139 -678
171 265 725
686 168 472
689 680 -691
577 258 -610
432 244 -858
509 425 862
360 557 -946
73 204 -553
204 493 -912
521 592 108
462 381 571
46 607 271
476 550 483
37 257 -538
607 753 808
781 597 939
86 230 763
689 29 -656
12 157 -63
66 761 -852
753 387 58
503 753 -375
210 8 -717
353 513 807
58 15 653
292 275 164
479 576 -864
748 378 495
96 563 288
140 505 987
193 21 -469
470 89 -321
188 739 747
625 535 -839
329 34 633
396 173 -697
512 642 428
638 351 991
715 5 653
711 472 668
324 37 -435
190 674 -757
720 156 257
15 99 -740
164 48 -476
338 253 -688
480 729 -507
489 491 -780
401 42 353
277 602 458
637 152 -690
263 708 -836
326 384 299
744 214 -155
794 155 562
306 188 -451
721 135 -463
680 515 234
724 328 9
680 663 -330
456 745 454
163 139 313
776 170 -317
548 22 496
407 112 -374
166 165 -102
462 344 -896
8 50 971
645 238 666
217 549 -638
504 679 -584
625 295 23
491 35 -456
494 374 -535
476 304 -476
231 89 280
50 316 -792
524 781 -162
241 675 210
219 178 614
233 26 457
541 544 -298
45 617 -234
14 761 241
471 378 -556
391 45 -897
326 371 189
176 522 989
799 146 98
25 732 100
196 774 -33
762 89 307
148 8 942
294 676 724
595 639 -845
549 557 444
400 670 -817
732 266 142
504 321 954
748 71 -822
757 722 147
475 320 957
254 471 318
424 423 876
99 603 216
480 636 -909
392 424 384
210 706 149
791 487 460
154 746 343
381 430 513
159 169 -12
34 18 518
789 670 -922
238 616 426
133 286 114
733 277 145
234 580 -324
628 268 -36
121 91 -103
745 530 499
352 536 -658
88 237 -937
347 666 -465
512 583 421
47 577 182
442 99 233
294 103 760
493 81 -72
632 408 -7
66 794 918
476 534 47
792 295 239
296 665 386
647 646 476
119 325 -857
178 593 321
487 458 -10
685 141 186
23 455 -885
384 173 157
538 76 -807
206 215 -608
176 634 173
109 247 246
418 285 420
506 286 318
67 325 851
226 679 -801
112 321 4
342 511 844
507 297 -908
741 690 614
340 161 -326
43 10 423
594 366 108
236 313 -770
722 507 90
291 542 536
341 66 27
663 655 -166
777 296 500
159 281 526
315 302 844
707 648 928
83 238 979
152 368 694
524 317 459
652 375 -865
470 752 -701
328 592 433
565 722 75
347 20 302
577 403 -297
134 510 -964
278 570 -365
363 571 178
75 168 -929
430 149 -784
305 71 166
431 633 -743
698 316 733
30 45 978
360 670 695
227 307 -116
160 202 916
69 527 37
21 428 345
633 584 -288
611 509 490
373 516 -988
187 621 -349
760 294 -978
51 157 -324
568 431 -87
159 412 -675
677 290 165
90 75 -586
34 672 963
378 60 934
571 441 -31
626 454 363
37 192 558
774 540 -408
308 212 -435
227 48 281
699 691 510
354 689 690
608 46 666
750 544 396
150 569 -778
165 500 -976
87 60 895
687 3 -981
270 690 -982
36 703 739
239 38 -403
223 29 960
40 437 240
522 632 -771
210 69 172
414 200 308
335 295 -920
410 789 -723
707 358 -141
257 576 -781
535 220 -678
764 59 -626
264 768 60
119 138 -732
132 741 -855
484 515 392
483 747 739
738 616 891
488 264 -696
36 463 734
353 195 156
393 392 243
289 728 946
35 502 625
515 10 134
517 799 31
45 51 996
532 197 317
734 684 137
114 315 719
403 682 176
249 696 -707
216 324 665
785 586 952
602 292 -930
144 663 856
278 51 21
511 197 -431
94 724 192
61 427 10
253 434 530
46 461 -420
513 150 -401
199 96 342
13 237 894
407 383 666
22 619 -505
160 747 946
573 472 3
802 486 644
350 197 -436
379 138 -205
1 138 319
134 597 184
470 734 -457
271 515 -258
780 399 -704
165 624 -806
689 528 -46
556 602 3
275 141 150
567 259 -977
224 755 -323
330 555 -545
18 668 -816
73 239 -173
377 267 -495
111 715 -449
41 442 960
241 796 360
511 643 361
504 654 372
222 100 -678
169 53 204
24 76 585
368 36 721
378 688 722
795 634 391
492 716 894
3 393 -56
3 592 -10
250 583 -648
166 431 -975
394 507 927
550 24 -135
684 385 -479
115 565 -151
178 497 -962
305 449 -825
169 72 726
384 594 -262
626 458 -645
135 477 -204
672 315 -480
298 201 -511
685 144 570
62 605 -52
161 790 -808
72 502 411
273 62 -185
21 489 -475
305 105 -427
611 97 -579
177 624 -604
484 789 -955
445 18 -160
50 368 -834
510 600 328
358 652 -330
500 626 -319
59 261 -47
662 46 -941
441 128 -452
199 49 -591
750 111 -412
564 176 -674
371 187 171
776 128 166
604 281 -85
801 427 -858
473 188 340
796 77 335
553 94 433
596 764 -107
750 652 212
709 23 463
629 506 -709
614 307 -988
125 549 584
766 684 -985
97 569 313
149 536 -301
350 82 -581
889 832
699 688 337
47 430 -955
404 30 211
334 537 380
302 277 -533
202 768 -191
589 248 -773
459 31 -897
707 301 -562
886 805 -926
873 152 -645
112 432 -136
534 401 638
859 24 226
82 711 689
267 735 -795
638 310 948
219 837 -658
573 801 542
572 850 -135
876 167 748
666 103 66
677 365 480
804 449 -540
750 770 -237
785 574 199
349 674 -760
179 140 -34
747 692 898
167 253 -903
498 246 179
610 750 -547
130 556 -392
375 186 -349
116 14 229
42 394 -694
21 187 -429
649 378 -920
728 825 -913
615 688 -894
525 574 -315
299 295 -786
101 41 -859
476 572 521
831 801 590
680 317 316
205 56 120
444 252 -358
841 695 -14
575 225 59
478 204 -638
580 722 72
287 167 -360
596 669 -846
671 80 389
232 362 417
120 865 815
768 369 -475
526 857 -168
567 89 45
411 808 -148
756 53 -653
752 228 784
313 304 324
45 240 -605
520 305 -772
193 460 -532
58 338 242
531 40 -368
741 450 -133
862 223 906
177 226 95
651 802 -796
113 795 -822
703 432 552
753 846 -203
44 562 -745
55 857 269
790 246 845
80 374 992
878 862 -55
222 449 -701
299 417 480
236 217 33
876 200 -401
408 788 736
575 555 797
466 173 397
111 482 -104
311 284 -429
161 348 -514
690 651 -400
573 87 -137
798 234 996
101 824 111
95 665 -680
582 158 -236
770 790 -246
207 307 504
680 676 -331
882 744 -987
614 419 959
842 14 -645
290 21 665
178 586 -382
280 40 -97
323 614 -952
228 69 583
342 285 252
560 546 513
641 826 -311
704 624 -118
161 442 361
871 655 374
93 21 167
505 729 -180
677 867 -129
525 302 609
843 514 -686
211 175 -654
617 637 219
548 290 625
558 574 -349
688 808 -470
495 325 -53
224 523 -133
41 128 -660
376 369 -859
475 412 -712
308 120 -182
521 17 -969
50 168 792
463 32 331
510 531 389
76 749 -180
870 841 993
474 689 -841
359 276 -697
766 61 403
653 370 -459
282 835 -493
670 781 -960
464 584 250
200 89 -92
463 525 548
448 287 -84
275 621 372
144 165 682
729 134 -257
433 886 -397
428 456 78
368 168 923
510 705 -203
527 307 -981
765 641 361
636 291 916
303 727 655
349 375 -287
21 408 339
306 351 -142
732 536 -360
61 689 -142
364 454 385
80 101 -237
884 799 334
355 708 -714
364 599 634
287 360 802
749 53 -758
183 716 434
550 666 854
222 544 590
376 513 -27
702 782 -783
501 346 339
45 393 568
423 408 -219
303 176 -875
565 467 -919
265 239 -397
540 782 734
21 791 -222
224 713 -389
137 589 -236
467 179 -399
414 125 250
332 863 360
463 81 -654
665 270 355
320 792 -901
752 723 -365
783 257 759
763 78 -647
130 584 104
610 767 -149
741 498 -506
391 602 -346
534 746 346
52 125 146
509 409 -844
251 119 -311
860 816 944
31 508 689
847 603 899
61 774 4
634 439 -255
286 315 496
191 546 -270
416 550 974
608 432 -469
461 510 -695
47 475 -539
53 579 680
113 550 -930
102 644 186
557 165 460
66 351 924
240 307 156
376 855 903
409 435 -112
91 760 472
9 768 -503
689 492 -924
791 156 -551
116 205 -524
527 310 979
314 80 744
784 459 870
801 840 668
150 782 182
407 394 -374
376 75 -119
48 262 847
864 221 -588
81 563 -300
701 200 -276
258 313 -688
179 155 -796
755 166 854
489 645 555
599 30 -386
84 168 614
95 27 860
728 159 -427
722 182 913
92 221 408
51 583 -745
97 251 336
773 864 -260
322 748 -188
834 527 -772
746 612 -297
158 308 -329
17 705 -483
490 477 -741
545 179 687
565 659 -873
31 843 -788
389 293 707
69 50 -950
437 700 -865
804 78 658
393 351 755
242 234 924
643 335 -448
373 775 -803
153 278 36
338 5 -298
140 227 -465
136 177 671
591 592 985
836 652 268
630 818 62
452 663 -862
561 429 -542
133 444 47
412 706 106
820 338 -909
500 134 476
40 109 -667
320 175 886
783 194 -982
474 307 87
794 162 765
709 425 -789
693 741 613
463 816 -895
297 469 869
458 513 -616
181 121 -255
75 37 -302
119 813 -258
318 173 -207
579 707 23
207 764 101
861 82 -760
250 274 -150
271 851 722
461 670 -267
802 618 978
207 233 -305
757 8 345
1 775 165
162 362 -602
538 768 342
356 415 -249
871 336 518
297 300 333
218 642 -497
297 219 536
213 567 436
192 265 -164
556 121 247
767 120 757
95 723 -859
284 872 -77
218 86 264
183 569 151
361 674 720
142 461 -163
142 296 -935
754 512 -499
107 513 496
197 830 534
786 772 524
434 47 -77
550 680 875
589 283 -494
110 474 31
392 522 -474
180 67 510
322 78 443
637 195 -644
801 58 -1
864 156 126
674 589 267
515 533 652
514 232 -861
409 396 558
682 179 976
512 251 368
232 564 -902
125 621 -897
775 178 891
336 791 88
678 510 -658
803 648 -388
327 102 -641
839 451 605
374 809 -921
161 108 570
660 542 -96
785 632 131
63 693 729
861 296 91
11 269 -392
784 135 153
87 455 -339
770 410 -225
848 812 -27
494 4 616
95 537 -241
292 331 -713
880 551 -791
567 739 -959
189 865 -450
139 695 -20
388 783 290
725 254 -777
449 98 636
461 75 -854
389 595 404
353 771 -693
735 310 152
614 164 -235
742 188 471
774 528 -256
841 54 211
170 274 -84
826 347 -731
122 100 -526
824 815 -503
369 838 557
349 58 508
708 704 733
866 186 800
456 848 857
142 101 370
781 585 -91
18 452 -331
545 488 -862
205 693 -941
737 252 210
568 776 5
281 131 81
751 302 143
626 219 -946
304 532 964
346 23 429
859 204 52
860 180 555
489 481 -668
614 403 224
28 175 -647
704 256 -473
342 852 -726
521 50 -36
531 100 -754
518 800 -993
209 262 883
271 800 194
327 307 -314
642 830 -971
103 585 -12
506 514 -746
586 521 -14
780 741 -625
593 518 239
591 213 -123
347 803 -617
787 231 362
497 824 4
322 600 449
485 133 348
435 290 -837
255 671 -39
188 553 -463
504 289 -760
703 491 70
184 491 -580
584 341 -668
512 835 100
250 640 -935
315 397 578
65 330 99
643 479 439
440 218 -500
630 436 337
752 75 -719
651 565 352
704 159 347
419 551 -143
164 725 512
511 487 806
115 253 -344
349 396 -588
667 836 241
75 147 -524
748 383 726
825 428 -233
279 350 -75
839 125 -127
578 375 -428
75 139 560
712 527 -284
305 70 67
231 834 -365
58 234 -798
245 468 210
793 447 -286
883 383 120
678 330 275
112 729 280
