19

960 959
605 290 25
733 677 613
719 11 -306
83 145 341
853 813 248
78 34 503
658 912 -759
886 816 -830
744 205 270
621 76 -388
214 893 599
314 92 -807
347 634 148
531 660 800
107 121 -616
541 521 -855
251 768 -285
570 871 580
373 450 979
214 455 -478
296 426 357
637 841 -394
22 587 266
54 859 -256
717 55 -664
912 162 -531
448 790 -874
589 712 -492
499 923 140
63 388 -557
31 705 972
758 565 -376
813 495 290
953 530 169
34 894 38
46 57 -422
784 192 281
575 692 -475
29 888 -91
516 113 -478
547 485 -885
369 722 181
293 24 300
727 913 555
761 11 822
315 228 -237
302 530 921
162 167 -113
554 539 229
472 99 -830
684 88 -588
297 264 -305
165 641 614
367 563 479
12 60 318
571 91 -418
302 878 -609
535 611 948
686 482 700
739 421 -343
655 234 -961
642 451 -427
852 617 -454
729 122 -235
872 279 243
450 671 319
671 81 994
508 938 458
245 910 888
896 145 66
354 524 816
423 488 -743
771 317 -967
206 597 950
698 696 -830
612 922 899
457 221 -655
360 181 983
4 219 -220
506 114 466
474 905 769
915 482 822
677 958 419
959 42 508
801 716 386
154 449 -790
499 214 25
859 934 -606
445 334 -772
764 424 674
126 872 569
586 553 -669
948 224 257
547 751 -678
203 708 34
557 234 -283
572 830 253
457 25 778
299 801 -806
369 734 352
277 353 -681
449 317 956
521 36 694
802 372 814
875 192 214
152 612 -257
186 406 869
264 873 377
593 891 971
510 335 535
446 540 -17
284 819 -839
510 477 -816
561 7 -274
506 375 81
941 173 843
104 715 75
351 378 -26
852 792 621
548 864 478
935 507 -386
523 263 783
47 552 -898
629 741 686
468 511 -428
589 324 -336
943 392 387
92 219 -138
74 439 -684
705 507 -691
567 170 -196
466 229 -403
351 619 -253
502 449 201
557 328 364
205 337 707
611 517 524
28 18 -981
530 285 -71
58 912 693
430 728 806
935 211 451
136 388 -4
505 308 549
834 770 365
285 936 795
850 363 -704
138 335 -427
948 814 867
864 62 -398
211 30 -256
432 784 537
17 748 -514
93 672 10
344 361 378
526 765 -527
813 592 142
642 479 -217
737 133 657
82 17 925
487 674 -161
766 693 -130
624 118 -190
348 487 13
828 672 -75
777 934 728
436 797 -421
501 169 -329
849 647 484
562 306 509
251 829 119
892 859 -563
317 86 -732
545 630 10
494 165 955
164 450 -159
551 562 -617
80 261 -628
282 264 -980
376 79 870
871 699 -294
952 508 406
202 406 228
589 644 -454
697 856 -299
492 960 341
667 681 -38
455 903 -475
610 891 -375
788 588 763
601 345 -594
761 608 -804
289 629 -344
4 605 -967
412 130 -922
179 187 399
912 750 -803
445 775 -388
566 928 205
614 479 -60
667 584 855
949 262 -187
314 879 -688
458 461 600
692 847 -877
131 562 -795
443 140 -559
11 308 -622
533 798 -619
217 5 -66
711 512 -875
295 18 548
957 756 154
762 529 -820
675 776 -865
834 21 207
226 58 959
717 952 -841
258 15 -975
636 526 -791
634 860 -812
590 810 188
620 377 696
68 709 -555
650 953 562
678 93 -513
782 630 907
934 670 595
304 847 724
635 915 841
835 134 401
566 597 -345
630 458 -68
697 399 -239
76 189 190
29 334 -376
300 537 379
937 891 485
375 929 -194
311 771 959
479 876 676
333 193 -332
148 674 -630
164 587 -360
687 747 158
78 436 385
863 381 588
861 368 956
318 708 -305
735 629 -369
242 659 395
523 795 863
15 865 -561
437 927 -270
705 571 333
2 546 -789
278 140 761
617 850 -735
265 213 -591
516 576 785
183 830 -34
596 753 -523
62 451 -342
679 230 715
706 26 -517
382 28 544
22 183 -761
581 85 993
362 954 -324
261 717 -553
205 647 882
863 172 235
786 662 -787
576 124 956
245 75 169
620 464 -174
685 347 526
456 357 65
605 813 -574
35 566 -393
791 103 -83
641 113 -100
124 361 392
914 912 71
134 211 105
899 269 547
725 389 -470
132 780 405
625 38 856
329 198 344
692 704 -341
558 796 738
779 132 -892
476 696 968
482 666 129
947 300 795
166 930 -46
853 612 222
105 258 -509
529 764 64
624 277 -15
783 235 -551
333 697 533
905 790 643
194 415 654
169 64 -24
572 725 -311
244 626 -643
308 275 -302
366 208 -877
869 587 -79
94 292 155
266 319 244
347 2 -74
528 348 80
636 797 680
710 327 -442
870 448 308
592 475 795
799 837 -705
412 680 893
108 804 -460
147 38 -553
830 823 -785
540 249 400
275 584 883
918 556 -859
20 937 832
279 119 -141
209 385 -385
512 719 -983
859 489 409
894 563 -254
385 16 -726
794 498 228
330 230 817
195 573 328
411 92 -82
788 231 84
870 506 338
701 732 488
518 806 -471
155 9 703
517 831 59
253 75 368
354 319 342
193 692 -317
505 632 753
739 744 -198
353 19 526
858 878 727
234 578 479
820 823 -288
536 193 446
128 585 -651
249 23 346
96 500 -556
580 196 -118
917 302 -805
350 517 -169
880 349 441
34 536 591
791 237 138
853 732 566
460 415 -365
550 15 668
748 315 -213
825 671 -487
794 314 221
186 209 -124
116 956 533
724 136 -470
609 494 -182
29 654 572
892 30 744
769 693 183
313 559 221
63 21 185
757 632 871
97 2 -8
526 23 -799
671 25 -952
367 305 -791
363 582 -362
677 912 665
575 5 -839
349 492 399
564 41 501
946 444 -909
486 750 691
191 54 -651
20 721 977
179 405 -480
272 758 -825
733 529 544
126 877 867
23 515 296
454 294 -699
143 429 18
681 67 877
489 129 -678
530 834 -403
561 133 -240
834 18 -128
818 790 -75
633 249 -165
611 462 -151
863 237 312
902 31 695
470 880 984
673 295 883
686 153 828
51 955 -467
725 777 513
86 478 798
368 604 54
493 378 -414
475 298 -359
905 548 891
284 217 -477
277 144 -301
502 675 500
338 13 -872
177 271 -942
202 511 560
332 852 -284
351 212 953
755 340 420
956 813 873
121 680 862
695 189 3
790 517 813
723 532 -946
897 479 -62
821 239 431
926 631 59
736 67 636
363 289 -174
383 700 -646
62 787 -414
822 907 -902
850 472 -789
598 783 343
286 63 -560
133 371 27
694 819 -642
398 722 -174
398 485 -611
707 532 -25
233 170 320
242 124 478
833 158 994
416 693 -764
876 833
446 134 -668
134 303 -643
466 684 -293
502 532 636
98 672 -199
422 457 752
806 619 -537
515 781 357
843 343 -552
431 857 727
465 733 84
388 72 -493
526 538 353
282 13 -377
16 589 -785
157 306 974
118 471 -395
535 323 365
710 349 826
323 196 141
281 108 -543
216 674 554
146 132 -800
447 201 860
568 802 799
733 378 942
255 557 -365
837 113 -251
385 864 825
761 637 572
795 600 944
835 695 -175
126 636 852
252 783 -366
586 6 232
586 463 422
579 491 717
792 642 930
31 598 148
208 96 -737
149 95 -877
379 564 -494
162 308 316
326 125 107
170 222 134
638 569 695
230 612 406
696 328 -347
576 806 522
693 224 -616
493 655 387
525 15 213
434 213 244
101 78 -754
468 775 -634
140 460 -684
663 153 531
291 754 487
188 346 -186
719 747 -121
107 421 346
510 104 -255
81 161 -51
261 633 966
789 379 -292
550 836 -189
600 396 -601
167 816 829
407 445 789
214 344 319
530 788 -831
440 254 -647
779 437 473
112 581 917
273 795 72
322 479 -354
837 125 -820
832 831 -246
626 547 -3
778 256 344
587 108 -755
250 442 261
765 170 -847
687 365 324
432 586 -53
823 714 -528
296 519 878
704 670 400
813 53 835
550 51 -658
442 519 756
384 741 -235
85 504 110
809 764 738
137 547 761
294 235 525
673 128 923
240 110 955
821 472 923
151 615 -230
487 755 967
261 535 -322
819 166 736
876 810 168
172 183 94
589 38 -902
856 632 -121
32 160 -288
123 655 304
830 629 -808
550 418 -327
119 523 -770
568 409 15
285 788 -12
270 737 235
668 497 374
499 327 266
842 701 368
655 640 144
72 798 975
588 60 448
543 289 -639
299 59 -464
59 232 690
327 275 -435
653 868 468
199 695 597
152 648 923
788 553 575
715 452 -483
701 166 -971
416 800 467
314 249 -45
186 422 189
630 836 42
24 245 -203
799 174 555
787 485 -149
791 802 -797
72 710 -57
805 502 704
159 118 973
829 439 -540
624 546 -968
445 590 -936
605 859 -619
109 807 -566
258 612 -227
78 171 739
820 511 760
565 684 -858
763 317 -258
589 498 940
11 109 932
692 68 730
158 401 241
620 593 493
279 759 -385
265 428 -203
390 434 -595
578 342 -409
288 51 -842
777 667 675
421 827 -306
662 513 377
799 735 -477
272 473 943
310 109 768
791 87 -482
367 318 657
197 843 569
848 166 -787
725 772 -850
246 798 -976
707 330 115
531 675 -515
134 671 311
506 585 911
731 384 656
222 189 744
180 511 647
633 76 -166
413 245 -654
462 574 121
693 761 -947
727 36 -28
153 519 377
635 843 912
97 787 543
449 857 -761
110 513 -689
620 321 -712
478 595 338
444 802 -220
605 301 -430
175 862 -392
77 858 724
189 422 159
587 343 -429
321 635 602
480 432 -261
492 476 311
769 651 -311
333 178 -987
697 787 112
190 431 416
453 250 589
139 190 571
537 260 -78
782 238 992
117 521 884
712 283 468
522 499 288
190 457 793
668 70 -968
526 8 -910
337 775 653
669 642 616
644 123 -523
470 518 -103
680 787 -601
867 422 464
317 375 -438
438 720 131
151 604 535
709 132 -418
726 188 -419
429 849 242
697 726 -94
825 377 603
817 61 -379
777 770 359
210 294 980
502 310 71
595 392 -642
791 481 243
98 476 -148
255 193 -374
224 760 657
601 340 302
571 354 -566
286 203 -963
83 112 593
310 7 815
722 604 411
833 640 -397
69 237 -369
134 22 303
504 69 150
536 56 -476
690 471 670
472 530 961
304 591 -291
554 861 -536
509 193 -345
474 70 -834
842 815 -738
594 353 -248
655 472 269
778 300 285
434 872 -452
701 564 -275
248 320 -230
7 662 -362
651 621 -437
171 544 151
505 609 -223
820 622 971
862 338 -90
573 245 -556
580 249 736
11 219 -400
472 555 -843
100 664 -925
582 827 -540
515 234 922
698 514 -684
363 630 -32
198 389 -211
857 48 -598
788 284 344
471 443 563
629 537 -801
167 332 361
388 618 739
421 70 147
275 319 245
214 139 -362
126 662 522
3 455 -651
303 448 275
125 506 314
697 672 94
80 363 84
277 497 -813
680 209 151
422 868 877
635 107 -386
702 575 -508
281 283 -352
723 807 -928
701 423 -876
246 548 39
587 16 -912
86 220 -922
417 285 595
324 4 -60
412 475 -890
858 186 -914
813 501 741
278 68 389
26 633 -731
26 36 -411
341 262 151
25 819 403
264 567 -363
188 582 -824
181 679 583
90 87 400
145 110 -382
501 250 -309
308 689 -278
272 297 828
495 295 -805
459 644 170
248 206 -539
334 662 -376
848 125 -819
123 250 -590
84 229 599
691 865 -143
279 194 541
196 87 867
203 753 339
786 40 -1
209 643 -939
421 747 -324
649 664 -94
196 494 763
465 144 920
434 835 445
131 186 172
337 101 813
453 344 592
140 484 -158
239 509 -536
103 116 84
736 279 -70
635 195 -949
377 481 -355
354 322 -649
355 125 472
151 331 -502
724 820 -997
472 465 713
247 771 701
64 764 63
845 571 -939
74 860 429
222 303 615
428 698 -489
155 816 -655
157 599 -969
205 6 797
69 321 425
427 746 -287
60 794 -876
275 273 310
200 201 140
604 290 -191
748 625 -721
168 128 30
508 856 -5
545 40 -35
3 580 -958
744 405 -128
340 681 -713
270 527 770
708 819 -477
48 335 668
159 858 943
197 642 -430
542 633 -191
417 505 -479
226 2 -779
710 70 -635
682 22 -398
300 152 647
638 610 431
392 394 -73
325 815 -419
647 860 495
72 868 -491
702 384 -116
579 547 -429
273 666 697
377 217 652
713 394 450
625 653 -604
432 648 -716
577 406 124
167 197 360
850 237 -905
729 423 -37
835 66 929
750 752 -969
157 60 -62
769 611 -397
570 194 -152
706 264 -688
226 45 187
279 679 -438
814 834 101
253 204 -77
586 830 515
204 293 522
760 647 -568
49 10 -993
747 247 -277
90 616 345
662 244 182
554 772 819
737 524 799
37 86 528
425 588 -327
483 363 -267
261 426 -442
740 839 804
259 768 -31
770 294 750
624 231 894
119 381 366
793 428 -735
211 826 -228
620 42 -820
133 627 196
870 744 -689
703 656 584
325 26 -51
578 492 -741
577 233 -135
66 500 715
652 110 -136
252 438 -157
96 493 -1000
274 692 -940
458 146 -809
330 331 524
296 279 24
257 582 -615
834 305 -828
720 218 951
873 601 996
371 817 -730
483 207 -936
822 798 655
510 138 -159
817 576 585
804 200 433
685 264 -728
477 767 149
495 241 -453
564 271 -907
657 269 771
647 202 516
343 341 -315
319 667 973
489 301 274
180 543 -826
432 333 -194
26 172 -181
110 628 481
323 534 634
14 489 -600
23 286 11
165 358 -763
789 89 748
492 623 -985
236 689 -518
216 186 -44
524 873 559
805 701 -512
745 793 871
604 88 911
435 856 43
813 361 63
624 734 -527
255 268 218
832 497 929
47 43 -515
337 470 -821
805 498 -838
144 733 -674
647 264 240
445 153 334
593 773 -721
720 863 -598
325 333 426
85 527 -179
254 241 -595
469 686 668
539 754 376
846 276 -405
62 217 383
9 211 -389
408 486 -942
155 310 834
705 323 783
401 92 300
304 431 823
598 115 87
137 439 435
81 501 -727
185 324 -324
842 221 -654
263 252 -769
337 855 -405
267 65 -32
721 507 812
253 668 312
413 513 -190
518 482 561
459 229 -154
562 132 -732
512 38 399
116 472 779
819 868 378
272 130 -943
192 818 -875
337 56 -643
812 202 -143
847 484 914
493 432 270
134 90 -687
267 806 756
253 325 424
832 598 882
692 194 7
11 873 502
612 487 -89
533 644 837
713 347 740
573 43 -455
265 63 -363
788 53 678
226 591 911
328 558 24
842 282 23
289 775 -319
514 303 -543
765 180 -331
413 176 99
397 388 -842
180 336 300
840 571 -825
487 156 -219
544 272 -329
588 156 680
373 177 539
417 183 574
385 380 -228
812 859 841
503 162 -88
204 336 -151
254 155 386
376 330 -187
637 176 939
563 545 94
335 853 -999
455 467 -92
658 819 219
586 664 401
265 330 -130
462 809 -215
222 238 70
535 522 434
719 375 -870
55 873 -995
448 66 472
357 220 -397
258 767 -296
853 192 505
346 430 -943
838 615 241
626 675 -18
82 518 -43
196 296 22
413 157 878
716 676 -107
411 586 -536
46 338 -295
506 437 -54
670 784 -978
99 169 906
486 211 537
337 290 -941
612 405 834
655 826 39
848 340 94
513 518 -480
66 298 834
487 627 311
29 53 -309
65 218 -560
636 845 -67
526 753 -821
554 771 -796
381 621 758
451 242 -798
860 829 -964
556 416 -223
150 267 805
82 873 -77
522 125 399
328 716 360
272 365 533
347 685 -116
657 132 -168
695 812 -44
766 768 -580
821 525 816
96 318 -270
379 657 -87
532 38 -947
31 437 997
570 456 604
862 687 628
771 72 -587
135 141 701
764 36 -274
473 493 13
401 385 654
573 835 -530
695 540 986
141 401 -564
648 687 166
363 750 912
201 658 -478
564 34 700
222 42 -375
380 226 480
177 764 173
562 334 180
211 797 -25
738 548 -847
229 620 -43
260 164 -318
793 399 137
718 346 701
87 149 740
237 491 -723
364 362 -544
24 321 -270
447 582 -361
47 152 26
38 288 1
387 510 442
717 656 -333
238 540 863
584 823 -552
619 352 526
626 28 -948
188 234 -297
375 773 -27
710 31 -45
288 320 -439
815 602 251
161 329 -487
73 350 611
829 763 270
56 422 -248
12 383 -997
698 240 -846
711 90 371
548 634 -521
508 742 342
120 184 748
216 232 -464
844 419 717
401 392 -86
509 111 112
62 840 127
453 95 122
326 840 844
330 337 868
831 325 29
761 136 745
811 641 -499
165 13 616
95 816 187
690 357 716
555 197 979
613 224 146
583 830 -825
495 664 862
571 589 84
172 467 -896
125 761 -854
128 587 -294
454 239 351
450 214 533
472 488 128
461 201 800
5 314 886
385 873 393
145 173 981
154 31 -913
615 788 -570
624 129 -284
112 242 -725
145 572 512
870 164 -352
234 622 476
772 367 632
382 84 -414
659 442 836
547 90 -897
189 2 -209
570 724 903
49 747 -158
88 140 -368
557 399 285
382 323 487
463 614 -933
216 546 53
837 310 844
24 750 -297
512 786 354
539 61 -120
514 711 538
60 3 -985
257 12 583
565 333 -623
545 43 -135
96 585 583
555 635 -161
213 247 -285
101 383 996
185 326 140
857 343 -852
493 753 -695
804 181 -115
769 293 602
273 594 -570
678 22 -8
194 862 -571
699 97 646
12 392 -448
822 867 -271
112 510 34
164 547 949
715 813 -901
752 481 992
450 707 680
777 499 -336
107 233 773
719 120 -323
550 413 734
545 216 -366
38 508 -776
786 682 -790
671 808 -244
194 348 332
808 490 71
118 834 -476
113 44 295
702 298 -334
502 423 -414
117 256 173
721 824 -674
87 675 286
728 94 279
107 396 -779
598 515 -338
843 194 682
745 269 250
580 5 456
219 856 -481
415 125 -720
731 749 -759
8 772 -942
597 855 183
654 34 -324
43 705 963
776 10 -79
559 446 197
653 820 860
395 806 -667
852 173 890
454 860 775
286 505 -459
683 482 614
683 876 -760
614 339 -375
351 87 626
704 730 -201
246 755 773
630 498 675
559 398 193
514 582 -59
785 222 413
441 816 342
336 718 -935
806 362 -523
451 165 770
306 164 -122
557 675 -275
158 331 928
790 829 68
464 16 -312
190 460 -837
241 598 -876
491 824 857
665 322 359
299 179 669
859 215 -335
770 735 618
601 745 589
330 468 -792
349 553 -750
778 452 -882
797 339 510
300 256 200
153 210 -184
527 549 -839
862 326 647
20 367 360
815 7 203
2 436 -454
528 317 62
297 662 972
654 844 -695
504 141 -457
816 967
703 235 -514
722 320 -822
300 425 824
228 627 -1
310 269 105
256 374 -133
473 713 937
711 788 3
444 117 -991
118 182 -724
397 650 -342
758 477 -906
672 558 468
127 107 140
315 209 639
482 338 304
730 276 -75
291 733 -464
758 76 -297
648 478 986
661 807 -148
555 630 312
70 378 112
192 519 712
320 582 -332
18 789 922
161 437 -966
285 560 -156
111 777 -806
353 6 -777
563 816 -873
735 458 -489
47 358 -595
248 385 78
791 251 208
552 367 -862
775 318 221
475 466 738
418 774 356
139 689 506
271 482 -348
276 84 63
307 773 -828
587 526 616
780 167 -234
122 808 -466
114 430 798
43 690 -587
462 705 -300
568 370 -189
204 205 400
215 82 -446
194 740 -966
814 701 -488
508 659 -374
68 428 816
305 502 -600
615 349 979
741 767 -442
253 808 590
313 369 590
486 60 -109
655 532 -3
524 577 494
280 523 751
306 272 209
626 500 -608
688 512 -355
362 239 -642
359 83 -587
264 746 690
597 149 -472
251 480 -81
14 568 993
527 528 -767
117 495 189
286 52 446
565 147 -808
777 704 100
401 649 -75
292 583 -805
15 515 -326
767 641 669
741 304 -189
545 257 -715
211 367 -226
743 284 330
389 65 56
219 713 -368
425 600 -863
431 556 426
91 813 154
420 771 -614
304 443 -31
91 185 -592
637 437 817
387 9 -120
471 488 -782
684 335 -854
126 250 -624
200 638 200
597 279 742
543 375 -530
491 780 479
652 471 -323
289 487 -770
651 654 -451
524 200 -59
472 23 978
195 651 450
677 22 585
370 369 -82
46 250 -504
562 185 8
110 220 161
439 277 -700
599 467 411
559 345 486
328 123 -25
800 501 -948
815 734 637
410 134 609
222 383 -935
587 219 -578
178 13 -985
516 380 917
433 53 -166
740 293 117
299 641 932
85 709 377
562 305 382
368 100 -304
811 607 -80
486 442 -76
305 215 404
525 20 -452
371 374 818
473 544 523
375 107 -615
671 715 833
765 218 329
290 67 171
724 571 -526
345 356 -516
316 440 -973
413 665 450
790 35 -410
669 572 417
250 701 539
756 175 -686
478 306 -670
145 24 960
252 388 -867
378 780 28
276 461 -28
364 16 872
547 248 498
200 796 -838
242 493 473
777 450 -538
647 164 472
125 218 8
503 58 28
33 494 -590
241 452 486
185 273 -30
10 377 702
222 686 -848
539 568 -480
300 166 -775
290 267 337
296 354 112
752 556 -5
203 262 -539
497 219 137
304 463 600
545 673 -582
609 374 605
156 631 21
616 434 -996
8 647 -323
373 344 -978
268 177 875
721 457 495
347 810 673
366 743 -982
480 297 -792
384 730 -793
619 401 426
615 460 295
525 741 759
485 784 154
785 760 195
670 583 -948
779 45 480
471 504 658
758 84 164
480 245 -613
436 112 -666
234 566 741
553 667 337
14 236 -459
784 56 667
759 331 -48
183 417 279
97 110 535
179 587 -93
676 745 541
53 263 -281
572 488 -472
640 178 224
523 304 -529
580 58 -744
798 776 882
723 658 649
409 606 -930
48 8 816
485 529 -903
780 496 -297
293 690 -693
463 379 -663
44 538 399
482 163 -885
139 77 63
695 632 -529
194 351 742
436 737 -305
53 445 125
408 796 114
696 294 618
272 364 -423
408 709 72
786 311 820
242 129 173
649 366 534
452 561 -676
53 346 307
96 45 -414
331 277 -673
80 526 695
225 717 444
214 629 494
327 344 -845
496 639 -424
404 705 -25
233 441 435
467 319 482
382 592 279
86 281 127
371 603 -688
750 145 -750
429 609 -429
46 530 -630
679 611 -754
795 315 955
301 307 733
350 272 -455
724 1 -167
708 247 -874
304 785 771
600 134 455
345 34 487
35 245 399
598 497 -732
213 787 475
238 603 967
278 401 -113
4 257 -506
783 322 -143
800 596 -706
332 129 -131
741 296 587
761 55 -729
195 105 -356
377 370 631
598 624 565
648 474 10
404 218 364
313 691 -796
644 676 281
202 495 -811
10 749 923
154 187 263
634 183 674
223 428 -296
357 476 317
337 667 -751
169 293 -538
501 648 638
277 770 80
667 388 609
580 685 545
703 322 -71
301 686 -626
33 780 -466
384 114 -765
714 89 166
656 70 267
750 166 56
449 409 765
300 442 524
564 804 -962
541 656 678
743 690 -563
787 171 -131
661 93 210
223 336 -784
621 370 934
545 605 548
812 157 872
89 42 259
324 707 512
424 640 -734
619 675 -99
580 794 -627
762 272 73
43 310 733
488 560 456
52 41 355
631 119 -709
120 815 -700
231 802 -370
158 251 534
567 673 894
753 482 -857
36 143 23
105 806 80
248 667 -504
604 627 -652
763 363 -270
169 645 -407
765 668 -165
99 220 550
25 57 856
635 260 -684
40 381 -829
596 762 731
47 642 31
419 778 174
160 512 964
123 325 954
182 797 -739
83 529 842
231 84 666
177 174 -204
501 517 29
659 399 945
645 674 711
115 442 -496
809 465 -128
287 316 752
425 379 -895
68 236 142
230 682 520
95 599 -154
119 462 -521
399 436 655
686 236 667
